SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,STD_REPORT_DATE
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004020005,融资租赁负债(非流动),20189000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004020997,非流动负债其他项目,17439000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004020999,非流动负债合计,51610000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004025999,总负债,1694760000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004027999,少数股东权益,103392000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004028999,净资产,5452514000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004030001,股本,465859000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004030002,储备,9969638000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004030004,保留溢利(累计亏损),-5086375000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004030012,库存股,,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004030999,股东权益,5349122000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004036999,总权益,5452514000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004037999,总权益及非流动负债,5504124000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004039999,总权益及总负债,7147274000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004001002,物业厂房及设备,48421000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004001004,无形资产,457306000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004001019,其他投资,45865000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004001022,指定以公允价值记账之金融资产,477889000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004001030,中长期存款,685039000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004001997,非流动资产其他项目,86297000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004001999,非流动资产合计,1800817000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004002001,存货,349872000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004002003,应收帐款,1493238000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004002005,预付款按金及其他应收款,380064000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004002009,受限制存款及现金,6916000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004002010,现金及等价物,1326818000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004002011,短期存款,,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004002013,指定以公允价值记账之金融资产(流动),1330166000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004002023,合同资产,31093000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004002999,流动资产合计,4918167000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004009999,总资产,6718984000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004011001,应付帐款,863234000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004011003,应付税项,1844000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004011006,融资租赁负债(流动),28311000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004011008,其他应付款及应计费用,226161000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004011010,短期贷款,48554000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004011024,合同负债,325731000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004011997,流动负债其他项目,57274000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004011999,流动负债合计,1551109000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004013999,净流动资产,3367058000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004015999,总资产减流动负债,5167875000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004020001,长期贷款,24000000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004020003,递延税项负债,14324000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004020005,融资租赁负债(非流动),43721000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004020997,非流动负债其他项目,6546841000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004020999,非流动负债合计,6628886000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004025999,总负债,8179995000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004027999,少数股东权益,113701000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004028999,净资产,-1461011000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004030001,股本,437706000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004030002,储备,7063334000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004030004,保留溢利(累计亏损),-4177658000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004030012,库存股,-4898094000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004030999,股东权益,-1574712000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004036999,总权益,-1461011000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004037999,总权益及非流动负债,5167875000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2022-12-31 00:00:00,001,12-31,004039999,总权益及总负债,6718984000.0,2022-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004001002,物业厂房及设备,49807000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004001004,无形资产,395389000.0,2021-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2021-12-31 00:00:00,001,12-31,004001019,其他投资,115173000.0,2021-12-31 00:00:00
